system,name,ars,SD,BM,CW,AP,API,PA
plekify,Plekify · Singita,3,3,3,3,3,3,3
plekify,Plekify · Simbavati,3,3,3,3,3,3,3
plekify,Plekify · Hemingways,3,3,3,3,3,3,3
siteminder,Ivy City Hotel,1.5,0,3,3,1,1,1
siteminder,Nantucket Whale Inn,1.5,0,3,3,1,1,1
siteminder,Tremola-San Gottardo,1.5,0,3,3,1,1,1
siteminder,Beach Waikiki Hostel,1.5,0,3,3,1,1,1
cloudbeds,Saltline Hotel,2.3,2,3,3,1,3,1
cloudbeds,Sea Esta Komodo,1.3,0,3,0,1,3,1
cloudbeds,Fatwave Surf Resort,1.7,0,3,2,1,3,1
nightsbridge,Atlantic View,1.35,0,2,3,1,1,1
nightsbridge,Thali Thali,1.35,0,2,3,1,1,1
nightsbridge,Lairds Lodge,1.35,0,2,3,1,1,1
roomraccoon,Glen Hotel,1.5,0,3,3,1,1,1
roomraccoon,Steenhof Suites,0.9,0,3,0,1,1,1
roomraccoon,Miracle Manor,1.05,0,0,3,1,1,1
roomraccoon,Edgartown Commons,1.5,0,3,3,1,1,1
mews,MUSA Lago di Como,1.9,0,3,3,1,3,1
mews,Victoria Palace Hotel,1.75,0,2,3,1,3,1
mews,Elmhirst's Resort,1.75,0,2,3,1,3,1
mews,Somewhere Inn Collingwood,1.75,1,2,2,1,3,1
mews,Sun & Ski Inn,2.1,0,3,3,1,3,3
mews,Somewhere Inn Calabogie,1.95,1,2,3,1,3,1
stayntouch,Americana Motor Hotel,1.45,0,0,3,1,3,1
stayntouch,The Essex Resort & Spa,1.45,0,0,3,1,3,1
stayntouch,Hotel Am Parkring,1.75,0,2,3,1,3,1
stayntouch,Switzerland Inn,1.45,0,0,3,1,3,1
stayntouch,Hotel 1620 Plymouth Harbor,1.6,0,1,3,1,3,1
stayntouch,Casablanca Oceanside Inn,1.75,0,2,3,1,3,1
opera,Park MGM (OPERA Cloud + Amadeus ACRS),1.05,0,0,3,1,1,1
opera,Omni Atlanta (OPERA backbone),1.35,0,2,3,1,1,1
booking,Booking.com · Plaza Athénée,1.35,0,2,3,1,1,1
airbnb,Airbnb · Camps Bay villa,0.85,0,0,3,1,0,1
expedia,Expedia · Burj Al Arab,0.6,0,1,0,1,1,1
travelstart,Travelstart · Cape Town search,1.4,0,1,3,1,1,3